Gene_name	Bifidobacterium adolescentis	Bifidobacterium angulatum DSM 20098 JCM 7096	Bifidobacterium animalis	Bifidobacterium animalis subsp animalis YL2	Bifidobacterium animalis subsp. lactis BLC1	Bifidobacterium bifidum NCIMB 41171	Bifidobacterium breve	Bifidobacterium catenulatum DSM 16992 JCM 1194 LMG 11043	Bifidobacterium catenulatum subsp. kashiwanohense JCM 15439 DSM 21854	Bifidobacterium dentium ATCC27678	Bifidobacterium longum JMC1217	Bifidobacterium longum subsp. longum JCM 1217	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudolongum	Bifidobacterium thermophilum	Bifidobacterium-infantis-subsp-suis-DSM20211	Bifidobacterium-longum-infantis-subsp-infantis-ATCC15697
A4U98_RS01710	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01720	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01735	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01810	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01815	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01825	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01830	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01835	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01840	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01845	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01850	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01855	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01860	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01865	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01870	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01875	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01880	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01885	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01905	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01910	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01930	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01935	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01940	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01945	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01955	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01960	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01965	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01970	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01975	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01980	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01985	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01990	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS01995	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS02005	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
